"stock"    ,"return1y"        ,"return2y"        ,"return3y"         ,"momentum_3m"       ,"momentum_6m"      ,"momentum_1y"        ,"volatility_1y"     ,"volatility_2y"      ,"volatility_3y"     ,"priceToBook"        ,"marketCap"         ,"returnOnEquity"  ,"earningsGrowth"
"TUPRS.IS" ,0.800222621312184 ,1.1511774533202   ,0.998736721714997  ,0.564555725713391   ,0.545885924718558  ,0.582061384847152    ,1                   ,0.942231178795801    ,0.690148441483988   ,0.079800766838706    ,0.696867057695847   ,0.623561734415456 ,0.275377709127769
"VAKBN.IS" ,0.49714553324779  ,0.248249548422632 ,0.0989531991286858 ,0.723781948214072   ,0.56357945956562   ,0.298844409677469    ,0                   ,2.83505253233873e-05 ,0.00231976495982733 ,0                    ,0.302373571442776   ,0.350604345907787 ,0.224936042863349
"KRDMD.IS" ,0.309611863409558 ,0.776583248536433 ,1.5489084450336    ,0                   ,0                  ,0.123599494090946    ,0.0420701629691913  ,0.0420803449093257   ,0.0401506139647169  ,0.0231504611210191   ,0.0257062478878276  ,0.563545694149338 ,0.0327750156875996
"DOHOL.IS" ,0.676753694831185 ,0.61118602963641  ,1.17170351939672   ,0.653766115830796   ,0.737511650091337  ,0.466683161739878    ,0.00339441503220773 ,0.00179331807463213  ,0.00304868189286577 ,0.0101933836332268   ,0.0324580859276502  ,0.433162655148792 ,0.309938697687889
"AKBNK.IS" ,0.54141622731973  ,0.593297501514615 ,0.4463051508595    ,0.740018808208909   ,0.532702411952031  ,0.340214122392451    ,0.0174981651979083  ,0.015197143715051    ,0.00995202979783431 ,0.00244522731574266  ,0.478996493804446   ,0.421325484458997 ,0.274508857460057
"TKFEN.IS" ,0.338606018559177 ,0.545986166674969 ,0.472936627460253  ,0.706009342414615   ,0.385904258252673  ,0.150693712830869    ,0.0617482910622953  ,0.0481756198601906   ,0.0354767185881358  ,0.0195725246411525   ,0.00146327894248939 ,0.307917377825769 ,0.121977120239417
"FROTO.IS" ,0.395023707743016 ,1.08715871407022  ,1.71918692228769   ,0.35420189376552    ,0.216673769329826  ,0.203414449257224    ,0.906408859872749   ,1                    ,1                   ,0.300248931159369    ,0.997964825654909   ,1                 ,0.152966163054496
"GARAN.IS" ,0.817532900565771 ,0.91251654442375  ,0.852285367375233  ,1                   ,0.821573771069521  ,0.598237351697215    ,0.0413086167692936  ,0.0373163403640645   ,0.0257899688406541  ,0.0128027863985237   ,0.870362217094892   ,0.409946938822901 ,0.181445189940628
"KOZAA.IS" ,0.378086632591333 ,0.531312864547875 ,0.96100170379162   ,0.0209438507334337  ,0.240541417067958  ,0.187587231095282    ,0.0874997820031604  ,0.0768588743698601   ,0.0666210099963871  ,0.041576039577457    ,0.00161635996984814 ,0.388432198961998 ,0.00555099676594102
"HALKB.IS" ,0.458014046212386 ,0.245122487756355 ,0.180920062975566  ,0.522870313717548   ,0.448959062831387  ,0.262277140726726    ,0.00120706680509782 ,0                    ,0.00119946402970915 ,0.000127963863412587 ,0.23277834923002    ,0.286977370627097 ,0.370130810445528
"TCELL.IS" ,0.188844047961568 ,0.39952451147611  ,0.598748866766352  ,0.428471223117885   ,0.0152499964554709 ,0.0107453829224924   ,0.0312596514278246  ,0.0297111092139431   ,0.028101341699125   ,0.0451036330826044   ,0.339836530446669   ,0.366476244383294 ,0.0544963073804122
"KOZAL.IS" ,0.380705857290011 ,0.558026938719744 ,0.824268635343266  ,0.00622864121944451 ,0.345813184945629  ,0.190034822568419    ,0.493773315061849   ,0.416843649447128    ,0.374893887976497   ,0.0425000991076829   ,0.122470086628077   ,0.410765497463049 ,0.0257759328088044
"VESTL.IS" ,0.177383884843965 ,0.589419424519138 ,1.09676890003905   ,0.372937701620058   ,0.230278675069626  ,3.61843029354164e-05 ,0.0286730165251426  ,0.056695688501625    ,0.0763329549476354  ,0.0166086829763323   ,0                   ,0.361303650423212 ,0
"YKBNK.IS" ,0.75115365015378  ,0.868132394847829 ,1.08402069217954   ,0.822955832667512   ,0.670425141659408  ,0.536207817773091    ,0.00927211764363724 ,0.00825839873619008  ,0.00483670797614735 ,0.00305789330247056  ,0.449975401646956   ,0.427740429830367 ,0.235796688709755
"TTKOM.IS" ,0.224191713436796 ,0.410650650171893 ,0.636571558874152  ,0.355178306431691   ,0.280607068075652  ,0.0437767775394187   ,0.0143118421141456  ,0.0156727584792168   ,0.0125043286545826  ,0.0799495277814058   ,0.250650990864154   ,0.462961672878424 ,0.0268378626248974
"BIMAS.IS" ,0.628817256251604 ,0.49582268813153  ,1.00792820472187   ,0.699939183850095   ,0.41194819971964   ,0.421887914360335    ,0.200529576004027   ,0.146769127418784    ,0.162129589711767   ,0.221812920609589    ,0.526655820424168   ,0.582807946404728 ,0.0857266978809673
"PETKM.IS" ,0.518488501178199 ,0.963174346892832 ,1.41993295016211   ,0.62296461195947    ,0.489363928266433  ,0.318788810149964    ,0.0170017285625798  ,0.0230922497877916   ,0.0222066278886153  ,0.0445875212801904   ,0.212348751426301   ,0.551737550361675 ,0.0646811797074866
"ARCLK.IS" ,0.432153118362528 ,0.958607494454307 ,1.3980147897063    ,0.106807733298866   ,0.245860006901475  ,0.238110834367197    ,0.255135728697098   ,0.23236142177534     ,0.205945703428913   ,0.0446722505820013   ,0.31490714624973    ,0.314715478305293 ,0
"EREGL.IS" ,0.177345163177791 ,0.936512643493684 ,1.65078755801994   ,0.0129272352556598  ,0.0105643162115476 ,0                    ,0.101663725003948   ,0.111488501315213    ,0.102825420035236   ,0.0161244223326954   ,0.825168928977207   ,0.40027517503222  ,0.0747212434232756
"SAHOL.IS" ,0.697510900680082 ,0.865024756654718 ,1.10799414683533   ,0.48448245023777    ,0.50187593856077   ,0.486080184098262    ,0.066893370493285   ,0.0595693140006491   ,0.0445761548166559  ,0.006821816689187    ,0.376830674111993   ,0.454242003088462 ,0.202104551817348
"EKGYO.IS" ,0.651368049273001 ,0.667980668434152 ,1.06395090396698   ,0.685806421602108   ,0.70301421241623   ,0.442960993252529    ,0.00142453667120479 ,4.61683386245149e-05 ,0                   ,0.0105444687163337   ,0.0409465940630406  ,0.298112090285276 ,0.0446010522759087
"THYAO.IS" ,1.2474684772299   ,1.67771360204337  ,1.57281405461357   ,0.70334889516846    ,1                  ,1                    ,0.251315861933675   ,0.196324434275824    ,0.141947243672235   ,0.00574831706455347  ,0.789585285459751   ,0.346378023151857 ,0
"PGSUS.IS" ,0.875076323569127 ,1.00298992349211  ,0.858730348841076  ,0.735169479947708   ,0.762176277808882  ,0.652010054569619    ,0.648091436361209   ,0.524336082748482    ,0.40367039858455    ,0.0741503054070045   ,0.0991483535244912  ,0                 ,0
"ISCTR.IS" ,0.906578692245288 ,0.96199832038896  ,1.05147691319094   ,0.885398575976369   ,0.789712114650857  ,0.681448127979005    ,0.0131336643260394  ,0.00945815033827365  ,0.00530500219611837 ,0.0028365687590463   ,0.642664511920448   ,0.415578157836683 ,0.292127238499783
